,Time,Time Code,Country Name,Country Code,"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]",GDP per capita (constant 2010 US$) [NY.GDP.PCAP.KD],Population growth (annual %) [SP.POP.GROW],"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age) [SH.ALC.PCAP.LI]","Suicide mortality rate (per 100,000 population) [SH.STA.SUIC.P5]","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter) [EN.ATM.PM25.MC.M3]",Population density (people per sq. km of land area) [EN.POP.DNST],Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Ter,Happiness Score,develppedEc
99,2015,YR2015,Rwanda,RWA,3.967,66.6208780487805,3.4000000953674303,714.543174824314,2.47409453666555,10.0,8.5,49.71362154,471.404661532225,1.2536349899261299,3.334,3.465,n
100,2015,YR2015,Saudi Arabia,SAU,2.5789999999999997,74.57448780487809,5.599999904632571,21507.9556933289,2.5041372572587903,0.2,3.4,106.1617369,14.679858026041,13.377044216866,,6.4110000000000005,n
101,2015,YR2015,Senegal,SEN,4.84,66.66143902439029,10.3999996185303,1052.95881981747,2.9191617728831,0.5,6.1,37.57020675,77.7904430478367,1.5749079097708898,3.467,3.904,n
102,2015,YR2015,Serbia,SRB,1.46,75.4878048780488,17.7000007629395,5663.3923807184,-0.494772574469842,12.9,17.0,21.43664968,81.12717813857759,1.94872327164322,0.41,5.122999999999999,n
103,2015,YR2015,Sierra Leone,SLE,4.561,51.412853658536605,2.5,437.9969023301,2.2054671229685603,8.2,15.3,19.29960911,100.26357716819099,0.923433702690667,,4.507,n
104,2015,YR2015,Singapore,SGP,1.24,82.5951219512195,1.70000004768372,52244.5864920023,1.1863769374982198,2.9,9.9,18.73785053,7806.77291960508,3.1647837791346496,0.0,6.797999999999999,n
105,2015,YR2015,Slovakia,SVK,1.37,77.2121951219512,11.5,18678.934999060803,0.0950338786482762,12.5,12.5,20.52367065,112.803148787488,1.12679351083039,0.0,5.995,n
106,2015,YR2015,Slovenia,SVN,1.58,81.07804878048779,9.0,23731.1672755043,0.07519068901153302,10.9,21.4,20.349956699999996,102.45933465739799,0.9301450957548351,0.0,5.848,n
107,2015,YR2015,South Africa,ZAF,2.485,61.9340975609756,25.2000007629395,7604.35669089104,1.5853248045371398,11.5,10.7,29.6286252,45.348635865458796,1.09015869833242,,4.6419999999999995,n
108,2015,YR2015,Spain,ESP,1.32,83.38048780487809,22.100000381469698,30530.5666624314,-0.0714204430277645,10.6,8.5,9.738283342,92.8519392924111,1.2469467536051,2.622,6.329,n
